pfam,feature_importance_vals
PF11241.6,0.0
PF11211.6,0.0
PF11209.6,0.0
PF11177.6,0.0
PF11191.6,0.0
PF11178.6,0.0
PF11179.6,0.0
PF11180.6,0.0
PF11181.6,0.0
PF11182.6,0.0
PF11183.6,0.0
PF11184.6,0.0
PF11185.6,0.0
PF11186.6,0.0
PF11187.6,0.0
PF11188.6,0.0
PF11189.6,0.0
PF11190.6,0.0
PF11192.6,0.0
PF11208.6,0.0
PF11193.6,0.0
PF11195.6,0.0
PF11196.6,0.0
PF11197.6,0.0
PF11198.6,0.0
PF11199.6,0.0
PF11200.6,0.0
PF11201.6,0.0
PF11202.6,0.0
PF11203.6,0.0
PF11204.6,0.0
PF11205.6,0.0
PF11207.6,0.0
PF11111.6,0.0
PF11110.6,0.0
PF11109.6,0.0
PF11027.6,0.0
PF11014.6,0.0
PF11015.6,0.0
PF11016.6,0.0
PF11017.6,0.0
PF11018.6,0.0
PF11019.6,0.0
PF11020.6,0.0
PF11021.6,0.0
PF11022.6,0.0
PF11023.6,0.0
PF11024.6,0.0
PF11025.6,0.0
PF11026.6,0.0
PF11028.6,0.0
PF11012.6,0.0
PF11029.6,0.0
PF11030.6,0.0
PF11031.6,0.0
PF11032.6,0.0
PF11033.6,0.0
PF11034.6,0.0
PF11035.6,0.0
PF11036.6,0.0
PF11037.6,0.0
PF11038.6,0.0
PF11039.6,0.0
PF11040.6,0.0
PF11041.6,0.0
PF11013.6,0.0
PF11011.6,0.0
PF11108.6,0.0
PF10995.6,0.0
PF10982.6,0.0
PF10983.6,0.0
PF10984.6,0.0
PF10985.6,0.0
PF10986.6,0.0
PF10987.6,0.0
PF10988.6,0.0
PF10989.6,0.0
PF10990.6,0.0
PF10991.6,0.0
PF10992.6,0.0
PF10993.6,0.0
PF10994.6,0.0
PF10996.6,0.0
PF11010.6,0.0
PF10997.6,0.0
PF10998.6,0.0
PF10999.6,0.0
PF11000.6,0.0
PF11001.6,0.0
PF11002.6,0.0
PF11003.6,0.0
PF11004.6,0.0
PF11005.6,0.0
PF11006.6,0.0
PF11007.6,0.0
PF11008.6,0.0
PF11009.6,0.0
PF11042.6,0.0
PF11043.6,0.0
PF11044.6,0.0
PF11092.6,0.0
PF11079.6,0.0
PF11080.6,0.0
PF11081.6,0.0
PF11082.6,0.0
PF11083.6,0.0
PF11084.6,0.0
PF11085.6,0.0
PF11086.6,0.0
PF11087.6,0.0
PF11088.6,0.0
PF11089.6,0.0
PF11090.6,0.0
PF11091.6,0.0
PF11093.6,0.0
PF11045.6,0.0
PF11094.6,0.0
PF11095.6,0.0
PF11097.6,0.0
PF11098.6,0.0
PF11099.6,0.0
PF11100.6,0.0
PF11101.6,0.0
PF11102.6,0.0
PF11103.6,0.0
PF11104.6,0.0
PF11105.6,0.0
PF11106.6,0.0
PF11107.6,0.0
PF11078.6,0.0
PF11077.6,0.0
PF11076.6,0.0
PF11075.6,0.0
PF11046.6,0.0
PF11047.6,0.0
PF11049.6,0.0
PF11050.6,0.0
PF11051.6,0.0
PF11052.6,0.0
PF11053.6,0.0
PF11054.6,0.0
PF11055.6,0.0
PF11056.6,0.0
PF11057.6,0.0
PF11058.6,0.0
PF11059.6,0.0
PF11060.6,0.0
PF11061.6,0.0
PF11062.6,0.0
PF11064.6,0.0
PF11065.6,0.0
PF11066.6,0.0
PF11067.6,0.0
PF11068.6,0.0
PF11069.6,0.0
PF11070.6,0.0
PF11071.6,0.0
PF11072.6,0.0
PF11073.6,0.0
PF11074.6,0.0
PF11242.6,0.0
PF11243.6,0.0
PF11244.6,0.0
PF11422.6,0.0
PF11409.6,0.0
PF11410.6,0.0
PF11411.6,0.0
PF11412.6,0.0
PF11413.6,0.0
PF11414.6,0.0
PF11415.6,0.0
PF11416.6,0.0
PF11417.6,0.0
PF11418.6,0.0
PF11419.6,0.0
PF11420.6,0.0
PF11421.6,0.0
PF11423.6,0.0
PF11407.6,0.0
PF11424.6,0.0
PF11426.6,0.0
PF11427.6,0.0
PF11428.6,0.0
PF11429.6,0.0
PF11430.6,0.0
PF11431.6,0.0
PF11432.6,0.0
